Date,CHA
Jul-2009,121.23
Aug-2009,120.72
Sep-2009,119.84
Oct-2009,119.05
Nov-2009,118.66
Dec-2009,117.79
Jan-2010,117.16
Feb-2010,115.98
Mar-2010,114.77
Apr-2010,116.05
May-2010,116.39
Jun-2010,117.24
Jul-2010,117.03
Aug-2010,116.57
Sep-2010,115.4
Oct-2010,114.12
Nov-2010,113.45
Dec-2010,112.41
Jan-2011,111.32
Feb-2011,110.11
Mar-2011,108.92
Apr-2011,110.35
May-2011,111.85
Jun-2011,113.56
Jul-2011,113.56
Aug-2011,113.41
Sep-2011,112.85
Oct-2011,111.68
Nov-2011,110.16
Dec-2011,109.06
Jan-2012,108.39
Feb-2012,108.55
Mar-2012,110.09
Apr-2012,111.65
May-2012,112.9
Jun-2012,114.49
Jul-2012,115.49
Aug-2012,116.59
Sep-2012,115.87
Oct-2012,115.4
Nov-2012,114.85
Dec-2012,115.05
Jan-2013,115.53
Feb-2013,115.82
Mar-2013,118.34
Apr-2013,120.3
May-2013,121.79
Jun-2013,123.29
Jul-2013,123.85
Aug-2013,125.07
Sep-2013,124.79
Oct-2013,125.17
Nov-2013,124.17
Dec-2013,124.07
Jan-2014,123.89
Feb-2014,123.55
Mar-2014,124.17
Apr-2014,125.5
May-2014,127.19
Jun-2014,127.68
Jul-2014,128.2
Aug-2014,128.2
Sep-2014,128.78
Oct-2014,128.63
Nov-2014,128.26
Dec-2014,128.4
Jan-2015,129.06
Feb-2015,130.28
Mar-2015,131.23
Apr-2015,132.46
May-2015,133.4
Jun-2015,134.24
Jul-2015,134.43
Aug-2015,134.36
Sep-2015,134.16
Oct-2015,134.43
Nov-2015,134.91
Dec-2015,135.37
Jan-2016,135.29
Feb-2016,135.74
Mar-2016,136.78
Apr-2016,138.8
May-2016,139.92
Jun-2016,141.02
Jul-2016,141.36
Aug-2016,141.83
Sep-2016,142.09
Oct-2016,142.36
Nov-2016,142.76
Dec-2016,142.83
Jan-2017,143.31
Feb-2017,143.89
Mar-2017,145.64
Apr-2017,146.92
May-2017,148.16
Jun-2017,149.25
Jul-2017,149.64
Aug-2017,150.41
Sep-2017,150.72
Oct-2017,151.48
Nov-2017,151.04
Dec-2017,151.3
Jan-2018,151.87
Feb-2018,153.03
Mar-2018,154.49
Apr-2018,155.73
May-2018,156.79
Jun-2018,157.66
Jul-2018,157.9
Aug-2018,158.23
Sep-2018,158.57
Oct-2018,158.98
Nov-2018,159.23
Dec-2018,159.13
Jan-2019,159.52
Feb-2019,159.34
Mar-2019,160.63
Apr-2019,162.25
May-2019,163.76
Jun-2019,164.71
Jul-2019,165.17
Aug-2019,165.4