Date,Price_CHI
Jul-2009,128.32
Aug-2009,130.55
Sep-2009,132.13
Oct-2009,130.75
Nov-2009,129.36
Dec-2009,127.26
Jan-2010,125.11
Feb-2010,122.57
Mar-2010,119.71
Apr-2010,120.43
May-2010,121.9
Jun-2010,124.9
Jul-2010,126.17
Aug-2010,126.7
Sep-2010,124.76
Oct-2010,122.28
Nov-2010,119.57
Dec-2010,117.86
Jan-2011,115.78
Feb-2011,113.26
Mar-2011,110.57
Apr-2011,110.12
May-2011,112.01
Jun-2011,115.61
Jul-2011,117.78
Aug-2011,119.4
Sep-2011,118.47
Oct-2011,116.39
Nov-2011,112.44
Dec-2011,110.16
Jan-2012,107.99
Feb-2012,105.26
Mar-2012,102.75
Apr-2012,103.98
May-2012,108.62
Jun-2012,113.56
Jul-2012,116.61
Aug-2012,117.45
Sep-2012,116.69
Oct-2012,114.88
Nov-2012,113.36
Dec-2012,112.61
Jan-2013,111.65
Feb-2013,110.7
Mar-2013,110.73
Apr-2013,113.83
May-2013,117.92
Jun-2013,121.74
Jul-2013,125.69
Aug-2013,127.7
Sep-2013,128.03
Oct-2013,127.42
Nov-2013,125.87
Dec-2013,125.29
Jan-2014,123.73
Feb-2014,122.61
Mar-2014,123.65
Apr-2014,126.07
May-2014,127.95
Jun-2014,129.92
Jul-2014,130.98
Aug-2014,131.62
Sep-2014,130.95
Oct-2014,129.6
Nov-2014,127.89
Dec-2014,126.79
Jan-2015,126.58
Feb-2015,126.42
Mar-2015,127.58
Apr-2015,128.92
May-2015,130.42
Jun-2015,131.81
Jul-2015,132.71
Aug-2015,132.84
Sep-2015,132.17
Oct-2015,131.11
Nov-2015,130.26
Dec-2015,129.65
Jan-2016,129.02
Feb-2016,128.64
Mar-2016,130.31
Apr-2016,132.52
May-2016,134.63
Jun-2016,135.83
Jul-2016,136.7
Aug-2016,136.54
Sep-2016,136.1
Oct-2016,134.86
Nov-2016,134.66
Dec-2016,135.04
Jan-2017,135.2
Feb-2017,135.03
Mar-2017,136.24
Apr-2017,137.63
May-2017,139
Jun-2017,140.08
Jul-2017,140.91
Aug-2017,141.18
Sep-2017,140.89
Oct-2017,139.96
Nov-2017,139.23
Dec-2017,138.45
Jan-2018,138.52
Feb-2018,138.63
Mar-2018,140.07
Apr-2018,141.57
May-2018,143.19
Jun-2018,144.25
Jul-2018,144.67
Aug-2018,145.04
Sep-2018,144.93
Oct-2018,144.42
Nov-2018,143.45
Dec-2018,142.38
Jan-2019,141.56
Feb-2019,141.59
Mar-2019,142.43
Apr-2019,144.14
May-2019,145.3
Jun-2019,146.43
Jul-2019,146.86
Aug-2019,147.01