Date,CLE
Jul-2009,107.93
Aug-2009,107.42
Sep-2009,105.75
Oct-2009,104.97
Nov-2009,104.75
Dec-2009,103.86
Jan-2010,103.29
Feb-2010,101.53
Mar-2010,103.32
Apr-2010,104.77
May-2010,105.85
Jun-2010,107.26
Jul-2010,107.31
Aug-2010,107
Sep-2010,103.78
Oct-2010,102.13
Nov-2010,100.03
Dec-2010,100.21
Jan-2011,99.13
Feb-2011,98.52
Mar-2011,97.02
Apr-2011,98.1
May-2011,99.1
Jun-2011,100.65
Jul-2011,101.64
Aug-2011,101.96
Sep-2011,100.67
Oct-2011,99.68
Nov-2011,98.93
Dec-2011,97.75
Jan-2012,95.52
Feb-2012,94.22
Mar-2012,94.66
Apr-2012,97.04
May-2012,99.68
Jun-2012,101.9
Jul-2012,102.33
Aug-2012,103.13
Sep-2012,102.09
Oct-2012,101.61
Nov-2012,100.88
Dec-2012,100.71
Jan-2013,100
Feb-2013,99.44
Mar-2013,100.03
Apr-2013,102.11
May-2013,103.68
Jun-2013,105.76
Jul-2013,106.33
Aug-2013,106.65
Sep-2013,106.76
Oct-2013,105.8
Nov-2013,105.74
Dec-2013,104.2
Jan-2014,104.02
Feb-2014,102.38
Mar-2014,103.95
Apr-2014,105
May-2014,106.15
Jun-2014,106.56
Jul-2014,107.13
Aug-2014,107.36
Sep-2014,107.32
Oct-2014,106.62
Nov-2014,106.35
Dec-2014,105.75
Jan-2015,105.6
Feb-2015,104.36
Mar-2015,105.09
Apr-2015,106.19
May-2015,107.96
Jun-2015,109.37
Jul-2015,110.08
Aug-2015,109.75
Sep-2015,109.32
Oct-2015,108.63
Nov-2015,108.76
Dec-2015,108.65
Jan-2016,108.81
Feb-2016,107.91
Mar-2016,108.12
Apr-2016,109.07
May-2016,110.6
Jun-2016,112.09
Jul-2016,112.58
Aug-2016,112.72
Sep-2016,112.41
Oct-2016,112.99
Nov-2016,113.09
Dec-2016,113.36
Jan-2017,113.32
Feb-2017,113.09
Mar-2017,113.02
Apr-2017,113.58
May-2017,114.95
Jun-2017,116.05
Jul-2017,116.89
Aug-2017,117.63
Sep-2017,118.43
Oct-2017,118.15
Nov-2017,117.47
Dec-2017,117.05
Jan-2018,117.26
Feb-2018,117.94
Mar-2018,118.14
Apr-2018,118.99
May-2018,120.58
Jun-2018,121.83
Jul-2018,123.5
Aug-2018,124.09
Sep-2018,124.41
Oct-2018,123.7
Nov-2018,122.81
Dec-2018,122.37
Jan-2019,121.53
Feb-2019,121.32
Mar-2019,122.35
Apr-2019,123.21
May-2019,124.94
Jun-2019,126
Jul-2019,127.4
Aug-2019,127.75