Date,DAL
Jul-2009,121.26
Aug-2009,121.5
Sep-2009,120.63
Oct-2009,119.91
Nov-2009,119.96
Dec-2009,118.83
Jan-2010,117.29
Feb-2010,115.27
Mar-2010,115.82
Apr-2010,118.18
May-2010,119.92
Jun-2010,121.04
Jul-2010,120.75
Aug-2010,119.36
Sep-2010,117.44
Oct-2010,116.11
Nov-2010,114.88
Dec-2010,114.67
Jan-2011,114.04
Feb-2011,113.78
Mar-2011,112.76
Apr-2011,113.28
May-2011,114.28
Jun-2011,115.9
Jul-2011,116.92
Aug-2011,117.11
Sep-2011,116.44
Oct-2011,115.42
Nov-2011,114
Dec-2011,113.18
Jan-2012,112.63
Feb-2012,112.72
Mar-2012,114.48
Apr-2012,116.42
May-2012,118.6
Jun-2012,120.14
Jul-2012,121.21
Aug-2012,121.38
Sep-2012,121.56
Oct-2012,120.74
Nov-2012,120.6
Dec-2012,120.51
Jan-2013,120.53
Feb-2013,120.72
Mar-2013,122.31
Apr-2013,125.05
May-2013,127.61
Jun-2013,129.79
Jul-2013,131.48
Aug-2013,132.3
Sep-2013,132.59
Oct-2013,132.46
Nov-2013,132.58
Dec-2013,132.84
Jan-2014,132.67
Feb-2014,133
Mar-2014,134.55
Apr-2014,136.73
May-2014,138.55
Jun-2014,140.15
Jul-2014,141.22
Aug-2014,142.04
Sep-2014,142.4
Oct-2014,142.62
Nov-2014,142.78
Dec-2014,142.85
Jan-2015,143.45
Feb-2015,144.43
Mar-2015,147.17
Apr-2015,148.8
May-2015,150.27
Jun-2015,151.67
Jul-2015,153.56
Aug-2015,154.67
Sep-2015,155.26
Oct-2015,155.79
Nov-2015,156.11
Dec-2015,156.44
Jan-2016,156.63
Feb-2016,157.46
Mar-2016,159.72
Apr-2016,161.71
May-2016,163.82
Jun-2016,165.21
Jul-2016,166.34
Aug-2016,167.13
Sep-2016,167.73
Oct-2016,168.43
Nov-2016,168.74
Dec-2016,169.05
Jan-2017,169.46
Feb-2017,171.3
Mar-2017,173.45
Apr-2017,175.29
May-2017,176.53
Jun-2017,177.86
Jul-2017,178.51
Aug-2017,179.03
Sep-2017,179.73
Oct-2017,180.43
Nov-2017,180.64
Dec-2017,180.79
Jan-2018,181.23
Feb-2018,182.29
Mar-2018,183.59
Apr-2018,185.27
May-2018,186.42
Jun-2018,187.15
Jul-2018,187.49
Aug-2018,187.43
Sep-2018,187.44
Oct-2018,187.5
Nov-2018,187.89
Dec-2018,187.97
Jan-2019,188.2
Feb-2019,188.53
Mar-2019,189.09
Apr-2019,190.31
May-2019,191.29
Jun-2019,192.12
Jul-2019,192.55
Aug-2019,192.63