Date,MIA
Jul-2009,147.27
Aug-2009,148.91
Sep-2009,149.69
Oct-2009,149.09
Nov-2009,149.08
Dec-2009,148.66
Jan-2010,148.32
Feb-2010,147.52
Mar-2010,146.15
Apr-2010,145.04
May-2010,146.33
Jun-2010,146.92
Jul-2010,147.88
Aug-2010,147.47
Sep-2010,145.64
Oct-2010,144.03
Nov-2010,143.81
Dec-2010,143.11
Jan-2011,141.3
Feb-2011,138.44
Mar-2011,137.28
Apr-2011,136.99
May-2011,138.6
Jun-2011,139.46
Jul-2011,141.15
Aug-2011,140.75
Sep-2011,139.83
Oct-2011,138.2
Nov-2011,137.47
Dec-2011,137.74
Jan-2012,138.64
Feb-2012,139.53
Mar-2012,140.76
Apr-2012,141.33
May-2012,143.35
Jun-2012,145.62
Jul-2012,148.7
Aug-2012,150.12
Sep-2012,150.24
Oct-2012,149.97
Nov-2012,151.13
Dec-2012,152.37
Jan-2013,153.51
Feb-2013,153.97
Mar-2013,155.89
Apr-2013,159.65
May-2013,163.74
Jun-2013,167.1
Jul-2013,169.07
Aug-2013,170.41
Sep-2013,171.7
Oct-2013,173.63
Nov-2013,176.02
Dec-2013,177.57
Jan-2014,178.85
Feb-2014,178.57
Mar-2014,181
Apr-2014,183.01
May-2014,185.21
Jun-2014,186.23
Jul-2014,187.64
Aug-2014,188.1
Sep-2014,189.34
Oct-2014,190.09
Nov-2014,191.26
Dec-2014,192.37
Jan-2015,193.67
Feb-2015,194.81
Mar-2015,196.65
Apr-2015,198.4
May-2015,199.92
Jun-2015,200.57
Jul-2015,201.22
Aug-2015,201.95
Sep-2015,203.75
Oct-2015,205.06
Nov-2015,206.61
Dec-2015,205.98
Jan-2016,206.68
Feb-2016,206.73
Mar-2016,208.76
Apr-2016,210.95
May-2016,212.95
Jun-2016,214.49
Jul-2016,215.36
Aug-2016,216.2
Sep-2016,217.23
Oct-2016,218.21
Nov-2016,219.22
Dec-2016,220
Jan-2017,220.45
Feb-2017,220.55
Mar-2017,221.07
Apr-2017,222.23
May-2017,224
Jun-2017,225.08
Jul-2017,226.34
Aug-2017,226.66
Sep-2017,227.91
Oct-2017,227.83
Nov-2017,228.18
Dec-2017,227.87
Jan-2018,229.23
Feb-2018,230.53
Mar-2018,232.1
Apr-2018,233.22
May-2018,235.09
Jun-2018,236.67
Jul-2018,237.71
Aug-2018,237.94
Sep-2018,238.29
Oct-2018,238.54
Nov-2018,239.39
Dec-2018,239.59
Jan-2019,240.29
Feb-2019,240.54
Mar-2019,242.1
Apr-2019,242.51
May-2019,242.98
Jun-2019,243.24
Jul-2019,244.09
Aug-2019,244.91