Date,N225
2009-07-01,10357
2009-08-01,10493
2009-09-01,10133
2009-10-01,10035
2009-11-01,9346
2009-12-01,10546
2010-01-01,10198
2010-02-01,10126
2010-03-01,11090
2010-04-01,11057
2010-05-01,9769
2010-06-01,9383
2010-07-01,9537
2010-08-01,8824
2010-09-01,9369
2010-10-01,9202
2010-11-01,9937
2010-12-01,10229
2011-01-01,10238
2011-02-01,10624
2011-03-01,9755
2011-04-01,9850
2011-05-01,9694
2011-06-01,9816
2011-07-01,9833
2011-08-01,8955
2011-09-01,8700
2011-10-01,8988
2011-11-01,8435
2011-12-01,8455
2012-01-01,8803
2012-02-01,9723
2012-03-01,10084
2012-04-01,9521
2012-05-01,8543
2012-06-01,9007
2012-07-01,8695
2012-08-01,8840
2012-09-01,8870
2012-10-01,8928
2012-11-01,9446
2012-12-01,10395
2013-01-01,11139
2013-02-01,11559
2013-03-01,12398
2013-04-01,13861
2013-05-01,13775
2013-06-01,13677
2013-07-01,13668
2013-08-01,13389
2013-09-01,14456
2013-10-01,14328
2013-11-01,15662
2013-12-01,16291
2014-01-01,14915
2014-02-01,14841
2014-03-01,14828
2014-04-01,14304
2014-05-01,14632
2014-06-01,15162
2014-07-01,15621
2014-08-01,15425
2014-09-01,16174
2014-10-01,16414
2014-11-01,17460
2014-12-01,17451
2015-01-01,17674
2015-02-01,18798
2015-03-01,19207
2015-04-01,19520
2015-05-01,20563
2015-06-01,20236
2015-07-01,20585
2015-08-01,18890
2015-09-01,17388
2015-10-01,19083
2015-11-01,19747
2015-12-01,19034
2016-01-01,17518
2016-02-01,16027
2016-03-01,16759
2016-04-01,16666
2016-05-01,17235
2016-06-01,15576
2016-07-01,16569
2016-08-01,16887
2016-09-01,16450
2016-10-01,17425
2016-11-01,18308
2016-12-01,19114
2017-01-01,19041
2017-02-01,19119
2017-03-01,18909
2017-04-01,19197
2017-05-01,19651
2017-06-01,20033
2017-07-01,19925
2017-08-01,19646
2017-09-01,20356
2017-10-01,22012
2017-11-01,22725
2017-12-01,22765
2018-01-01,23098
2018-02-01,22068
2018-03-01,21454
2018-04-01,22468
2018-05-01,22202
2018-06-01,22305
2018-07-01,22554
2018-08-01,22865
2018-09-01,24120
2018-10-01,21920
2018-11-01,22351
2018-12-01,20015
2019-01-01,20773
2019-02-01,21385
2019-03-01,21206
2019-04-01,22259
2019-05-01,20601
2019-06-01,21276
2019-07-01,21522
2019-08-01,20704