Date,ATL,BOS,CHA,CHI,CLE,DAL,DET,NYC,MIA,MIN,POR,SFC,SEA,TAM,VEG,WAS,NAT
12/1/2011,1188,2015,1081,1483,760,1112,766,1746,1692,1313,1334,2958,1715,1114,1140,2335,1485
1/1/2012,1187,2037,1086,1484,761,1103,760,1752,1697,1310,1338,2974,1720,1115,1137,2335,1487
2/1/2012,1185,2055,1093,1485,760,1101,758,1764,1704,1313,1332,2983,1725,1116,1133,2341,1491
3/1/2012,1179,2067,1100,1489,759,1102,756,1778,1715,1314,1329,3001,1736,1118,1130,2349,1495
4/1/2012,1171,2081,1104,1494,759,1104,754,1792,1723,1314,1330,3019,1746,1123,1127,2360,1500
5/1/2012,1161,2123,1105,1496,762,1108,751,1804,1728,1314,1337,3039,1749,1131,1127,2372,1507
6/1/2012,1153,2164,1107,1493,769,1112,749,1813,1727,1316,1347,3063,1744,1141,1127,2381,1513
7/1/2012,1148,2206,1110,1491,779,1121,747,1814,1732,1317,1354,3089,1736,1149,1128,2377,1519
8/1/2012,1144,2204,1114,1491,788,1127,744,1810,1735,1315,1360,3104,1733,1153,1126,2366,1520
9/1/2012,1141,2201,1117,1498,796,1138,743,1805,1735,1316,1359,3094,1734,1155,1125,2358,1520
10/1/2012,1139,2190,1120,1509,800,1146,745,1806,1731,1323,1355,3062,1739,1158,1124,2360,1519
11/1/2012,1141,2201,1123,1513,801,1160,745,1817,1733,1336,1350,3021,1745,1162,1125,2385,1522
12/1/2012,1146,2211,1126,1517,805,1164,747,1831,1744,1349,1360,3002,1755,1163,1126,2397,1528
1/1/2013,1149,2217,1128,1514,806,1167,749,1851,1761,1362,1376,3024,1768,1161,1128,2411,1536
2/1/2013,1153,2229,1131,1511,806,1174,751,1870,1776,1377,1396,3072,1781,1159,1130,2426,1546
3/1/2013,1157,2246,1135,1512,805,1181,751,1888,1786,1387,1407,3149,1797,1159,1131,2434,1558
4/1/2013,1167,2263,1139,1527,804,1190,751,1901,1796,1392,1415,3222,1807,1161,1131,2436,1569
5/1/2013,1182,2258,1143,1544,803,1195,751,1918,1800,1397,1420,3277,1816,1165,1132,2431,1577
6/1/2013,1196,2261,1147,1560,804,1200,753,1941,1809,1400,1421,3312,1828,1170,1134,2433,1586
7/1/2013,1201,2268,1150,1562,806,1199,755,1968,1815,1404,1418,3337,1837,1173,1138,2438,1592
8/1/2013,1201,2303,1153,1568,810,1199,754,1987,1824,1406,1415,3356,1848,1176,1141,2450,1599
9/1/2013,1199,2327,1157,1574,814,1199,752,1999,1840,1412,1417,3374,1860,1182,1145,2459,1607
10/1/2013,1198,2356,1163,1584,814,1204,750,2004,1860,1420,1424,3381,1884,1189,1148,2468,1615
11/1/2013,1199,2370,1168,1585,807,1214,749,2014,1885,1431,1432,3395,1916,1196,1152,2486,1625
12/1/2013,1201,2383,1172,1593,801,1216,749,2026,1913,1439,1435,3418,1951,1200,1155,2488,1634
1/1/2014,1200,2382,1173,1606,799,1216,751,2040,1935,1443,1436,3464,1979,1201,1157,2482,1642
2/1/2014,1201,2383,1172,1616,808,1215,753,2052,1947,1447,1431,3506,1995,1202,1158,2473,1647
3/1/2014,1202,2381,1169,1619,822,1215,753,2058,1959,1446,1437,3549,2002,1203,1157,2454,1652
4/1/2014,1207,2383,1167,1614,835,1218,752,2064,1964,1444,1441,3588,2008,1204,1157,2438,1655
5/1/2014,1213,2389,1165,1612,842,1222,750,2071,1969,1439,1442,3635,2011,1201,1155,2427,1659
6/1/2014,1220,2398,1164,1615,843,1226,749,2080,1966,1432,1440,3680,2014,1197,1155,2423,1663
7/1/2014,1229,2402,1167,1628,837,1230,748,2104,1971,1430,1448,3715,2025,1195,1155,2428,1670
8/1/2014,1239,2405,1173,1636,827,1232,747,2132,1977,1436,1463,3747,2042,1196,1158,2445,1678
9/1/2014,1251,2409,1182,1649,816,1235,748,2169,1985,1445,1484,3793,2071,1202,1162,2464,1692
10/1/2014,1260,2414,1191,1658,813,1238,749,2191,1993,1448,1501,3866,2090,1207,1168,2472,1704
11/1/2014,1271,2412,1199,1672,815,1248,750,2206,1999,1447,1518,3941,2106,1215,1172,2470,1715
12/1/2014,1283,2418,1208,1677,825,1253,750,2214,2003,1440,1534,4018,2120,1223,1176,2452,1725
1/1/2015,1294,2430,1213,1677,832,1255,751,2216,2007,1435,1549,4076,2133,1230,1175,2433,1732
2/1/2015,1307,2445,1218,1668,837,1257,753,2229,2011,1438,1563,4125,2141,1236,1175,2428,1739
3/1/2015,1317,2451,1221,1668,835,1262,753,2241,2019,1442,1577,4172,2151,1240,1174,2435,1747
4/1/2015,1326,2457,1225,1669,834,1269,753,2248,2030,1452,1595,4213,2169,1244,1176,2446,1757
5/1/2015,1336,2459,1229,1667,834,1277,753,2253,2048,1463,1617,4249,2201,1247,1180,2462,1767
6/1/2015,1349,2445,1233,1668,835,1284,754,2251,2074,1475,1644,4284,2240,1254,1186,2477,1778
7/1/2015,1364,2434,1237,1670,838,1289,754,2246,2101,1484,1676,4337,2283,1264,1192,2494,1791
8/1/2015,1380,2431,1241,1668,842,1292,754,2259,2129,1491,1702,4387,2318,1273,1197,2504,1804
9/1/2015,1395,2444,1243,1660,845,1292,752,2276,2147,1492,1717,4441,2342,1278,1197,2508,1814
10/1/2015,1405,2451,1241,1652,844,1293,750,2304,2159,1492,1723,4488,2354,1278,1197,2512,1821
11/1/2015,1416,2459,1241,1649,841,1296,748,2322,2158,1491,1727,4522,2357,1279,1196,2527,1827
12/1/2015,1423,2465,1244,1653,836,1298,749,2334,2154,1489,1735,4537,2361,1282,1198,2534,1831
1/1/2016,1432,2467,1252,1668,833,1305,750,2335,2150,1489,1749,4547,2370,1289,1204,2535,1836
2/1/2016,1439,2478,1261,1671,832,1315,752,2331,2144,1497,1767,4540,2384,1296,1210,2535,1841
3/1/2016,1446,2485,1269,1682,835,1327,753,2329,2147,1502,1785,4535,2406,1303,1217,2536,1847
4/1/2016,1447,2500,1276,1684,839,1338,753,2334,2154,1504,1801,4527,2431,1306,1222,2539,1853
5/1/2016,1447,2509,1283,1686,842,1347,752,2339,2162,1508,1815,4519,2454,1310,1225,2553,1859
6/1/2016,1445,2506,1289,1687,842,1353,749,2345,2165,1513,1827,4517,2473,1311,1227,2564,1863
7/1/2016,1448,2496,1289,1685,839,1358,746,2344,2160,1521,1832,4511,2479,1310,1227,2566,1863
8/1/2016,1455,2490,1287,1681,835,1364,746,2336,2148,1526,1830,4500,2479,1308,1227,2556,1861
9/1/2016,1464,2486,1285,1675,834,1370,746,2324,2134,1530,1834,4488,2476,1306,1228,2544,1858
10/1/2016,1474,2489,1285,1668,835,1377,747,2318,2118,1534,1844,4472,2477,1305,1230,2541,1857
11/1/2016,1483,2495,1286,1656,838,1385,748,2321,2107,1543,1857,4457,2479,1304,1234,2551,1859
12/1/2016,1486,2510,1290,1644,841,1389,749,2321,2096,1552,1861,4424,2482,1302,1237,2560,1859
1/1/2017,1486,2524,1294,1632,843,1391,750,2322,2088,1561,1859,4382,2481,1302,1239,2569,1858